,,Indeks Pembangunan Manusia,,,,,Rata-Rata Lama Sekolah (Tahun),,,,,PDRB ADHK (Milyar Rupiah),,,,,Persentase Penduduk Miskin (%),,,,,Umur Harapan Hidup (Tahun),,,,,Garis Kemiskinan (Rupiah/Kapita/Bulan),,,,,Kepadatan Penduduk (Jiwa/km2),,,,,Persentase Rumah Tangga yang memiliki Akses Sanitasi Layak (%),,,,,Indeks Pembangunan Gender,,,,,Pengeluaran Per Kapita yang Disesuaikan (Rupiah/Kapita/Tahun),,,,
,Purworejo,72.76,73.06,73.67,74.35,75.16,"13,5","13,51","8,32","8,46","8,65","13138,29","13573,47","14300,56","15025,91","15745,98","11,78","12,4","11,53","11,33","10,87",74.72,74.87,75.03,75.21,75.51,364289,376127,393731,427622,459253,705,709,752,762,768,83.79,79.81,80.21,81.43,84.64,94.96,95.33,95.59,95.34,95.11,10163,10275,10671,11110,11584
,Wonosobo,69.04,69.24,69.69,70.18,70.63,"11,75","11,76","6,88","6,89","6,9","13566,18","14064,76","14770,5","15405,98","16109,38","17,36","17,67","16,17","15,58","15,28",71.82,71.94,72.05,72.17,72.4,362683,373474,399180,425105,456351,896,903,910,924,935,48.18,53.27,55.3,58.14,63.81,92.75,92.78,92.65,92.95,93.02,10621,10760,11108,11577,11980
,Magelang,69.98,70.23,70.96,71.56,72.1,"12,54","12,55","7,81","7,82","7,83","22865,15","23661,71","24953,18","26211,56","27538,21","11,27","11,91","11,09","10,96","10,83",73.72,73.88,74.03,74.2,74.45,342430,353608,377497,411129,431289,1179,1184,1209,1226,1236,76.91,78.4,80.49,85.14,73.77,91.81,91.89,92.21,92.49,92.56,9301,9440,10011,10493,10926
,Boyolali,74.25,74.4,74.97,75.41,75.96,"12,56","12,57","8,08","8,09","8,17","22409,73","23447,37","24931,3","26333,28","27556,18","10,18","10,62","9,82","9,81","9,63",75.95,76.03,76.12,76.23,76.44,347520,361922,383030,420339,442071,1054,1061,1064,1008,1017,92.65,87.72,92.4,89.31,88.26,94.19,94.22,94.37,94.7,94.79,12910,13031,13250,13716,14195
,Klaten,75.56,76.12,76.95,77.59,78.16,"13,25","13,39","9,09","9,27","9,29","27480,36","28531,11","30214,98","31938,33","33568,92","12,89","13,49","12,33","12,28","12,04",76.78,76.86,76.95,77.07,77.3,419510,436896,458872,488102,505826,1915,1925,1946,1834,1846,94.68,95.37,95,97.16,97.83,96.17,96,96.11,95.79,95.9,11921,12017,12522,12968,13513
,Sukoharjo,76.98,77.13,77.94,78.65,79.3,"13,83","13,84","9,62","9,84","10,01","26616,5","27634,12","29185,35","30662,65","32187,41","7,68","8,23","7,61","7,58","7,47",77.65,77.73,77.82,77.86,78.01,393776,410273,434318,476675,501693,1856,1864,1964,1999,2018,96.64,94.27,96.14,95.68,97.08,96.49,96.52,96.96,97.37,98.08,11325,11428,11841,12319,12758
,Wonogiri,70.25,70.49,71.04,71.97,72.54,"12,49","12,5","7,42","7,67","7,68","20563,14","21251,17","22448,63","23566,88","24728,69","10,86","11,55","10,99","10,94","10,71",76.16,76.28,76.41,76.56,76.84,341643,356728,376763,414901,443563,582,585,580,586,588,94.47,92.97,94.62,96.12,96.25,91.08,91.07,91.73,92.11,92.38,9286,9429,9780,10283,10634
,Karanganyar,75.86,75.99,76.58,77.31,78.11,"13,68","13,69","8,79","9,02","9,26","26103,23","27039,61","28624,99","30208,24","31883,1","10,28","10,68","9,85","9,79","9,59",77.47,77.55,77.64,77.72,77.91,385563,401542,424677,465703,491551,1202,1211,1227,1244,1253,96.7,95.38,96.32,97.03,98.54,96.52,96.63,97.03,97.29,97.16,11428,11509,11798,12260,12732
,Sragen,73.95,74.08,74.65,75.1,75.53,"12,83","12,84","7,79","7,87","7,88","26367,26","27355,15","28929,81","30442,19","32084,08","13,38","13,83","12,94","12,87","12,41",75.71,75.79,75.87,75.97,76.18,348890,363349,389265,426482,453663,1038,1045,1048,1003,1010,93.27,89.89,93.08,95.3,96.03,91.62,91.68,92.24,92.49,92.62,12589,12679,13052,13439,13890
,Grobogan,69.87,70.41,70.97,71.49,72.02,"12,3","12,44","7,26","7,28","7,29","19383,03","20115,53","21318,16",22381,"23591,06","12,46","12,74","11,8","11,72","11,43",74.75,74.84,74.93,75.04,75.24,395001,404456,428597,464614,489208,722,725,744,756,762,87.39,89.37,87.93,90.49,93.94,86.14,85.89,86.18,86.23,86.45,10221,10294,10610,11083,11548
,Blora,68.84,69.37,69.95,70.63,71.42,"12,2","12,35","7,01","7,08","7,26","17483,89","18126,45","18609,49","19188,79","19776,06","11,96","12,39","11,53","11,49","11,42",74.41,74.51,74.6,74.71,74.84,353259,363649,390478,425135,464959,490,491,495,461,464,87.46,90.51,91.52,90.72,91.71,83.88,84.59,84.92,85.68,85.89,9571,9669,10067,10541,10926
,Rembang,70.02,70.43,71,71.89,72.53,"12,11","12,12","7,41","7,72","7,73","13409,63","13925,52","14698,84","15463,55","16248,58","15,6","15,8","14,65","14,17","14,02",74.55,74.61,74.68,74.77,74.97,403932,414977,441482,477514,518607,727,730,642,636,641,92.68,89.94,92.92,95.44,94.89,87,87.32,87.6,87.68,88.03,10328,10519,10937,11399,11830
,Pati,71.77,72.28,73.14,73.59,74.1,"12,65","12,94","7,79","7,8","7,82","30527,47","31559,08","33312,38","34984,79","36780,74","10,08","10,21","9,33","9,31","9,17",76.22,76.27,76.32,76.39,76.56,445913,458616,486855,532545,559499,889,894,898,864,871,92.17,91.67,93.8,95.8,95.03,91.5,92.21,92.42,92.49,92.55,10390,10506,10948,11385,11829
,Kudus,75,75.16,75.89,76.71,77.21,"13,23","13,24","9,06","9,34","9,35","70964,73","69872,18","71416,93","72980,27","75010,79","7,31","7,6","7,41","7,24","7,23",76.6,76.68,76.76,76.86,77.08,429666,450992,482806,520830,550075,1997,2005,2014,2057,2077,91.81,93.8,92.78,92.12,96.09,92.75,92.96,93.56,93.83,94.01,11160,11272,11609,12088,12533
,Jepara,71.99,72.36,73.15,73.85,74.32,"12,75","12,76","8,09","8,26","8,27","20973,09","21944,23","23249,85","24451,04","25482,07","7,17","7,44","6,88","6,61","6,09",75.84,75.91,75.97,76.04,76.21,407056,419028,442618,479131,503832,1119,1122,1188,1216,1228,63.67,66.59,68.14,70.49,95.3,90.99,91.28,91.44,91.53,91.71,10343,10536,10913,11306,11729
,Demak,72.22,72.57,73.36,74.07,74.57,"13,31","13,32","8,1","8,27","8,28","18374,56","18856,42","19846,43","20839,75","21894,6","12,54","12,92","12,09","12,01","11,89",75.4,75.46,75.52,75.6,75.79,432533,445176,471818,511145,535134,1338,1347,1363,1382,1396,91.54,91.38,91.64,93.6,95.13,90.9,91.16,91.3,91.17,91.25,10128,10248,10698,11166,11591
,Semarang,74.1,74.24,74.67,75.13,75.67,"12,97","12,98","8,05","8,07","8,16","34688,04","35948,86","37857,92","39651,89","41529,4","7,51","7,82","7,27","7,17","6,96",75.73,75.79,75.86,75.95,76.14,404455,416395,459151,498952,520639,1108,1115,1128,1137,1147,89.53,91.01,85.91,85.5,96.62,96.38,96.61,96.6,96.64,96.74,11966,12070,12448,12943,13377
,Temanggung,69.57,69.88,70.77,71.33,71.86,"12,14","12,32","7,41","7,5","7,53","14890,76","15387,93","16187,37","16998,53","17855,6","9,96","10,17","9,33","9,26","8,67",75.58,75.64,75.7,75.77,75.95,323705,336034,354012,388369,416086,943,948,919,929,936,68.99,68.05,75.3,69.89,71.77,95.31,95.74,95.99,96.19,96.27,9343,9408,9773,10108,10519
,Kendal,72.29,72.5,73.19,73.86,74.34,"12,95","12,96","7,71","7,73","7,74","30449,02","31632,28","33428,96","35287,7","37201,45","9,99","10,24","9,48","9,39","9,35",74.43,74.48,74.53,74.58,74.73,396691,407387,433864,465936,488940,911,917,1031,1050,1062,85.37,83.81,82.65,78.33,83.05,93.19,93.3,93.79,94.29,94.34,11425,11608,11999,12755,13277
,Batang,68.65,68.92,69.45,70.2,70.73,"12,01","12,13","6,9","7,07","7,08","15031,08","15764,27","16704,99","17629,39","18693,22","9,13","9,68","8,98","8,92","8,73",74.69,74.74,74.79,74.85,75.03,309202,318330,341252,378858,412196,1017,1023,1031,967,978,67.91,66.96,67.29,61.7,65.92,91.47,91.86,91.88,92.48,92.68,9431,9524,9972,10470,10919
,Pekalongan,69.64,70.11,70.81,71.45,71.95,"12,41","12,42","7,46","7,47","7,48","16047,51","16615,07","17463,42","18360,81","19283,06","10,19","10,57","9,67","9,67","8,95",73.69,73.74,73.8,73.87,74,403662,416779,441765,480934,505520,1157,1167,1180,1205,1219,76.85,78.57,77.8,83.47,87.22,92.48,92.56,92.72,92.83,92.96,10312,10409,10707,11297,11701
,Pemalang,66.4,66.64,67.26,68.08,68.65,"11,95","11,96","6,5","6,55","6,56","18155,6","18933,19","19895,24","20719,54","21778,06","16,02","16,56","15,06","15,03","14,92",73.4,73.53,73.65,73.85,73.99,389209,401857,429549,467204,493593,1316,1328,1483,1366,1382,77.64,77.89,77.69,80.73,84.32,85.83,86.49,86.72,87.14,87.37,8461,8573,8994,9587,10017
,Tegal,69.28,69.67,70.42,71.12,71.7,"12,67","12,89","7,25","7,34","7,36","24492,62","25401,91","26705,27","28022,85","29444,38","8,14","8,6","7,9","7,3","6,81",71.6,71.72,71.85,72,72.16,390520,404655,434638,470728,497315,1823,1836,1846,1682,1702,81.52,84.23,85.82,85.87,85.27,86.79,87.53,88.22,88.64,88.85,9612,9700,10020,10537,10972
,Brebes,67.9,68.1,68.81,69.71,70.18,"12,04","12,05","6,35","6,4","6,41","32693,08","33533,33","35378,61","36702,96","38546,98","17,03","17,43","16,05","15,78","15,6",69.33,69.54,69.74,69.96,70.29,431897,445853,472326,513339,542495,1040,1047,1213,1154,1167,73.81,80.1,80.72,82.8,85.85,86.36,86.65,87.19,87.13,87.61,10058,10152,10514,10993,11389
,Kota Magelang,78.99,79.43,80.39,81.17,82.15,"14,14","14,15","10,94","11,2","11,43","6312,05","6513,89","6889,45","7264,92","7668,79","7,58","7,75","7,1","6,11","5,94",76.85,76.93,77.02,77.22,77.53,522099,537783,575130,602794,626614,7567,7572,6715,6585,6600,85.87,84.04,82.27,84.93,93.82,95.27,95.54,95.91,96.43,96.73,12210,12349,12816,13175,13619
,Kota Surakarta,82.21,82.62,83.08,83.54,84.41,"14,87","14,88","10,92",11,"11,25","34815,97","36211,25","38475,99","40620,31","42897,32","9,03","9,4","8,84","8,44","8,31",77.22,77.32,77.43,77.63,77.9,487445,511216,538441,600953,638102,11353,11361,11878,11258,11283,90.03,88.73,87.49,89.97,86.07,96.84,96.89,96.84,97.15,97.54,14761,14911,15463,15870,16291
,Kota Salatiga,83.14,83.6,84.35,84.99,85.72,"15,41","15,42","10,95","11,24","11,48","9503,71",9822,"10365,44","10918,73","11505,05","4,94","5,14","4,73","4,66","4,57",77.4,77.55,77.72,77.93,78.26,454154,480903,518815,565031,596659,3353,3374,3683,3618,3661,94.61,98.07,97.72,98.15,95.28,95.18,95.37,95.44,95.45,95.59,15699,15843,16351,16650,17096
,Kota Semarang,83.05,83.55,84.08,84.43,85.24,"15,52","15,53","10,8","10,81","11,05",137602,"144704,6","152995,4","161848,3","170947,7","4,34","4,56","4,25","4,23","4,03",77.34,77.51,77.69,77.9,78.24,522691,543929,589598,642456,671936,4424,4432,4442,4534,4572,93.96,93.67,92.45,95.31,95.88,95.49,95.67,95.93,95.96,96.37,15243,15425,16047,16420,16990
,Kota Pekalongan,74.98,75.4,75.9,76.71,77.21,"12,84","12,85","9,2","9,29","9,34","7337,83","7601,49","8039,47","8476,55","8928,8","7,17","7,59",7,"6,81","6,71",74.38,74.44,74.51,74.6,74.8,460789,480415,513243,565998,605312,6788,6813,6889,7017,7096,88.49,94.62,86.82,90.69,95.38,95.17,95.42,95.32,95.65,95.56,12467,12598,13158,14056,14547
,Kota Tegal,75.14,75.59,76.21,77.06,77.5,"13,05","13,07",9,"9,24","9,28","10949,12","11290,27","11873,2","12468,61","13119,7","7,8","8,12","7,91","7,68","7,64",74.46,74.54,74.64,74.77,74.87,502031,523413,565826,623617,664922,6901,6950,8069,7123,7200,91.19,92.77,93.58,94.12,92.48,93.18,93.26,93.39,93.64,93.95,12999,13143,13455,14013,14358
DI Yogyakarta,Kulon Progo,74.46,74.71,75.46,75.82,76.18,"8,86","9,02","9,17","9,18","9,2","8468,29","8838,14","9419,36","9951,95","10426,23","18,01","18,38","16,39","15,64","15,62",75.24,75.27,75.28,75.29,75.41,353807,360202,381666,416870,438007,744,756,782,756,760,95.06,95.95,96.43,97.19,97.16,95.07,95.09,95.54,95.27,95.29,10041,10069,10511,10723,10990
,Bantul,80.01,80.28,80.69,81.74,82.05,"9,55","9,57","9,59","9,79","9,81","18839,37","19781,89","20809,22","21861,77","22964,66","13,5","14,04","12,27","11,95","11,66",73.86,73.89,73.9,73.94,74.17,405613,418265,445511,488340,510740,1940,1970,1980,1992,2008,97.96,96.2,96.05,97.3,96.46,95.12,95.19,95.36,95.54,95.67,15517,15545,16002,16524,16851
,Gunung Kidul,69.98,70.16,70.96,71.46,72.14,"7,21","7,3","7,31","7,32","7,35","13512,44","14230,14","14994,23","15749,22","16506,42","17,07","17,69","15,86","15,6","15,18",74.12,74.19,74.23,74.24,74.35,319851,325907,350739,382249,401209,522,510,523,507,506,95.8,96,96.57,95.78,97.63,84.73,85.31,85.82,85.93,86.67,9486,9505,9874,10065,10630
,Sleman,83.84,84,84.31,84.86,85.71,"10,91","10,92","10,94","11,01","11,33","33857,33","35755,93","37596,42","39508,68",41560,"8,12","8,64","7,74","7,52","7,46",74.81,74.92,75,75.08,75.29,411610,422933,450763,491652,513926,1959,1977,2000,2013,2033,97.55,98.41,97.42,95.78,96.43,96.2,96.25,96.36,96.4,96.52,15926,16060,16438,16976,17586
,Kota Yogyakarta,86.61,87.18,87.69,88.61,89.1,"11,46","11,72","11,89","12,11","12,12","27016,5","28409,76",29863,"31378,8","32964,35","7,27","7,69","6,62","6,49","6,26",74.65,74.76,74.83,74.91,75.11,533423,556674,601905,662267,686973,11495,11579,11546,11560,11562,96.49,98.17,92.82,96.55,96.27,98.16,98.32,98.48,98.47,98.65,18678,18801,19319,19920,20603
Jawa Timur,Pacitan,69.28,69.45,70.19,70.94,71.49,"7,6","7,61","7,82","7,88","7,9","10837,9","11107,4","11722,4",12245,"12775,8","14,54","15,11","13,8","13,65","13,08",71.94,72.07,72.48,72.86,73.04,296271,309655,327758,352606,370643,422,424,414,410,411,69.9,71.7,72.64,77.45,81.26,84.87,85.09,85.65,86.16,86.46,8796,8887,9184,9681,10099
,Ponorogo,71.57,71.81,72.59,73.18,73.7,"7,54","7,55","7,77","7,78","7,8","14168,6",14620,"15093,7","15870,1","16622,8","9,95","10,26","9,32","9,53","9,11",72.77,72.85,73.2,73.55,73.74,326205,341090,362461,395069,413619,727,732,680,676,679,84.97,87.49,86.77,89.79,92.57,93.56,93.65,93.96,94.4,94.6,9670,9851,10199,10658,11065
,Trenggalek,70.1,70.4,71.28,71.96,72.47,"7,55","7,56","7,89","7,9","7,92","12502,4",12959,"13545,4","14212,1","14881,6","11,62","12,14","10,96","10,63","10,5",73.75,73.86,74.26,74.64,74.83,340915,358831,381448,411527,434146,637,641,592,593,596,76.81,75.48,79.27,81.28,84.66,92.93,92.56,92.41,92.57,92.68,9630,9743,10042,10465,10872
,Tulungagung,73.15,73.29,74.14,74.65,75.13,"8,33","8,34","8,65","8,66","8,68","26455,8","27390,4","28818,9","30234,6","31703,9","7,33","7,51","6,71","6,53","6,28",74.08,74.16,74.54,74.91,75.11,362213,374183,391888,423875,447793,1032,1039,966,968,973,89.45,85.37,83.6,87.85,87.76,95.48,95.52,95.63,95.45,95.56,10705,10807,11162,11565,11966
,Blitar,71.02,71.48,72.25,72.84,73.44,"7,39","7,5","7,82","7,83","7,87","24945,5",25700,"27037,3","28239,9","29493,8","9,33","9,65","8,71","8,69","8,16",73.52,73.61,73.98,74.34,74.54,325675,335573,355511,387733,408399,916,921,711,718,724,80.36,75.67,80.11,82.5,96.34,92.7,92.76,93.22,93.4,93.65,10654,10757,11001,11499,12020
,Kediri,72.8,73.31,74.2,74.68,75.18,"8,02","8,08","8,23","8,24","8,26",28491,"29361,7","30800,7","32195,5","33787,6","11,4","11,64","10,65","10,72","9,95",72.61,72.65,72.97,73.27,73.47,324215,335990,353033,385874,403621,1180,1186,1087,1101,1109,83.59,86.92,88.68,92.13,94.94,93.07,92.9,92.85,93.25,93.41,11000,11127,11565,11952,12388
,Malang,71.24,71.48,72.23,73,73.53,"7,42","7,43","7,68","7,75","7,8","66545,5","68619,1","72136,5","75744,3","79500,9","10,15","10,5","9,55","9,45","8,98",72.55,72.61,72.95,73.26,73.45,338156,348695,367579,399647,420334,752,756,773,782,788,80.99,80.79,81.8,84.03,86.16,88.68,88.34,88.35,88.6,88.91,10028,10163,10326,10791,11190
,Lumajang,67.04,67.65,68.48,69.37,70.31,"6,4","6,67","6,87","7,14","7,27","21933,8","22623,4","23626,6","24808,4","25929,9","9,83","10,05","9,06","8,93","8,65",70.1,70.21,70.61,70.96,71.14,318196,334906,352776,386995,405136,625,629,633,634,638,84.53,83.24,77.99,77.48,82.46,88.09,88.39,88.77,89.06,89.43,9088,9203,9466,9720,10124
,Jember,69.01,69.2,69.8,70.42,70.93,"6,48","6,49","6,5","6,52","6,54","52586,6","54688,7","57167,1",59984,"62897,2","10,09","10,41","9,39","9,51","9,01",69.15,69.28,69.68,70.03,70.2,365295,380397,400961,441171,459043,820,825,775,781,786,65.83,64.17,65.95,64.47,87.45,84.66,84.82,85.31,85.52,85.79,9294,9410,9840,10277,10700
,Banyuwangi,71.85,72.62,73.15,73.79,74.3,"7,16","7,42","7,66","7,76","7,78","53295,1","55472,6","57932,6","60848,4","63693,6","8,06","8,07","7,51","7,34","6,54",70.65,70.72,71.06,71.38,71.57,373679,387084,414879,448928,470713,295,297,482,485,488,77.44,81.15,78.07,82.63,86.12,86.66,86.96,87.26,87.5,87.57,12140,12217,12320,12820,13320
,Bondowoso,69.1,69.24,69.91,70.56,71.22,"5,93","5,94","6,22","6,36","6,53","13451,8","13921,7","14410,2","15075,6","15809,3","14,17","14,73","13,47","13,34","12,6",66.74,66.89,67.29,67.6,67.76,408352,423150,449760,494000,517741,509,510,503,507,510,44.07,52.82,51.64,57.41,62.7,90.68,90.75,91.1,91.17,91.22,10610,10690,10851,11255,11689
,Situbondo,68.94,69.34,69.76,70.65,71.22,"6,46","6,62","6,63","6,9","6,93","13282,8","13715,8",14318,15019,"15741,8","12,22","12,63","11,78","11,9","11,51",69.13,69.24,69.62,69.94,70.11,322527,336040,356133,396587,413611,411,412,418,421,424,55.29,59.79,54.52,59.37,62.64,87.06,87.16,87.32,87.59,87.73,9857,9996,10263,10702,11216
,Probolinggo,68.77,68.94,69.56,70.36,70.85,"6,11","6,12","6,13","6,29","6,31","22898,2","23664,4","24734,2","25904,9","27153,1","18,61","18,91","17,12","17,19","16,45",67.2,67.36,67.78,68.12,68.28,441258,451395,475713,514274,537724,679,681,673,682,687,59.76,62.14,62.36,66.12,62.94,85.38,85.39,86.02,86.34,86.63,10859,10969,11254,11756,12258
,Pasuruan,70.2,70.54,71.29,71.91,72.36,"7,4","7,41","7,42","7,44","7,46","103152,8","107630,3","113352,1","119252,6","125622,8","9,26","9,7","8,96","9,24","8,63",70.23,70.25,70.55,70.81,71,355299,368686,394016,429624,450088,1090,1093,1084,1101,1110,80.03,82.92,83.4,86.7,86.36,90.48,90.89,91.02,91.08,91.17,10164,10297,10726,11239,11617
,Sidoarjo,80.65,81.01,81.37,81.88,82.67,"10,5","10,72","10,77","10,78","10,91","135305,3","141000,4","151613,9","160950,8","169867,8","5,59","5,93","5,36",5,"4,53",74.04,74.06,74.36,74.69,74.91,486421,502524,523213,571696,597284,3283,3298,2905,2968,2999,95.52,95.05,89.54,94.72,97.95,94.13,94.26,94.68,94.72,94.9,14458,14578,14808,15311,15710
,Mojokerto,74.58,74.9,75.61,76.23,76.69,"8,51","8,64","8,97","9,11","9,13","57818,4","60198,7","63699,8","66982,7","70527,7","10,57","10,62","9,71","9,8","9,37",72.53,72.59,72.93,73.25,73.45,406043,417784,445608,486520,508618,1559,1568,1151,1163,1172,91.02,87.34,89.87,89.38,96.76,91.1,91.24,91.37,91.63,91.84,12779,12844,13051,13467,13903
,Jombang,73.63,74.1,74.66,75.16,75.67,"8,54","8,55","8,76","8,77","8,78","27657,6","28553,5","30086,2","31602,8","33230,5","9,94",10,"9,04","9,15","8,6",72.4,72.49,72.86,73.22,73.42,410116,421172,448830,488754,514170,1182,1189,1204,1218,1228,88.98,90.95,93.67,94.06,93.25,90.15,90.23,90.51,90.65,90.83,11261,11394,11579,11999,12454
,Nganjuk,72.78,73.03,73.95,74.7,75.24,"7,64","7,78","8,12","8,24","8,25","17990,4","18640,7","19543,2","20598,6","21614,9","11,62","11,85","10,7","10,89","10,17",71.54,71.6,71.95,72.28,72.48,428882,446232,474429,513565,539714,902,906,867,872,878,85.75,81.84,83.36,87.83,96.14,93.26,93.76,93.89,94.08,94.18,12130,12172,12349,12821,13376
,Madiun,72.94,73.07,73.51,74.02,74.81,"7,81","7,82","7,94","7,95","8,2","13146,1","13582,7","14169,6","14895,8","15593,2","11,46","11,91","10,79","11,04","10,63",71.38,71.5,71.9,72.28,72.47,364638,380287,405127,437296,460205,717,723,6668,678,681,91.92,89.09,89.4,91.99,90.13,91.79,91.77,92.14,92.31,92.55,11574,11658,11848,12259,12668
,Magetan,74.85,75.08,75.76,76.3,76.77,"8,24","8,36","8,66","8,67","8,69","13020,9",13417,"13939,2","14562,7","15259,9","10,35","10,66","9,84","9,8","9,32",72.59,72.65,72.97,73.29,73.49,354936,371182,396696,431203,455119,974,979,960,965,970,88.65,88.4,91.01,92.9,89.99,93.36,93.65,93.88,94.07,94.37,11776,11833,12031,12495,12915
,Ngawi,71.49,71.97,72.62,73.28,73.91,"7,06","7,26","7,59","7,78","7,84","13479,7","13823,5","14264,4","14904,5",15596,"15,44","15,57","14,15","14,4","13,81",72.3,72.41,72.81,73.2,73.39,342556,358663,382301,413947,445865,671,674,629,631,633,83.67,79.35,84.26,85.42,96.04,92.19,92.32,92.53,92.89,93.13,11418,11459,11563,11897,12414
,Bojonegoro,70.18,70.7,71.15,71.8,72.75,"7,33","7,38","7,43","7,45","7,59","69703,4","65839,5","61782,9","63310,7","64367,4","12,87","13,27","12,21","12,18","11,69",71.56,71.72,72.16,72.57,72.76,362383,380653,403403,435936,471457,592,595,569,571,573,89.02,90.96,91.01,92.63,96.43,90.17,90.21,90.63,90.87,91.44,10121,10221,10323,10776,11204
,Tuban,69.6,70.1,70.79,71.4,72.31,"6,95","7,18","7,37","7,4","7,53",42705,"43984,7","47890,3","49984,2","51913,4","15,91","16,31","15,02","14,91","14,36",71.43,71.56,71.97,72.36,72.54,371465,388176,421287,454336,488131,653,656,613,617,621,79.03,83.8,80.99,85.13,87.12,87.78,88.06,88.39,88.52,88.81,10238,10380,10703,11174,11579
,Lamongan,73.44,73.97,74.83,75.29,75.9,"7,92","8,04","8,33","8,34","8,48","26972,7","27896,5","29447,4","30709,2",32186,"13,85","13,86","12,53","12,42","12,16",72.4,72.49,72.86,73.22,73.41,397980,419309,446601,481969,524636,754,761,783,781,786,92.23,89.7,90.66,95,92.11,88.59,88.99,89.5,89.84,90.11,11456,11510,11648,12019,12419
,Gresik,76.59,76.98,77.62,78.44,78.93,"9,3","9,56","9,75","10,01","10,03","97616,6","101318,7","108796,9","113825,4","119274,4","12,4","12,42","11,06","10,96","10,32",72.66,72.67,72.99,73.3,73.5,492628,505499,536544,588316,608828,1101,1109,1061,1075,1086,96.9,91.56,90.29,95,93.22,89.93,90.2,90.78,91.01,91.25,13246,13280,13384,13870,14356
,Bangkalan,65.17,65.42,66.11,66.82,67.33,"5,95","5,96","5,97","5,99","6,01","17514,6","17152,8","16959,9","17164,2","17497,5","20,56","21,57","19,44","19,35","18,66",70.18,70.22,70.54,70.79,70.96,418908,432046,458754,503207,547017,1059,1070,835,839,847,56.18,39.44,53.48,50.3,50.11,86.88,86.95,87.35,87.56,87.81,8610,8673,8971,9438,9841
,Sampang,64.75,64.86,65.44,66.19,66.72,"4,85","4,86","5,06","5,07","5,08","13953,7","13984,6","14308,3","14674,1","14925,3","22,78","23,76","21,61","21,76","20,83",68.03,68.07,68.38,68.64,68.81,374908,391032,411661,454716,491753,786,792,801,818,827,81.85,76.22,79.33,82.86,50.34,85.5,86.32,86.79,86.97,87.16,8739,8790,8944,9363,9782
,Pamekasan,68.65,68.78,69.35,70.32,70.85,"6,69","6,7","6,88","7,15","7,17","11117,6","11496,2","12031,6","12628,7","13245,3","14,6","15,3","13,93","13,85","13,41",67.58,67.67,68.03,68.31,68.48,357074,368259,392345,431127,467493,1073,1077,1079,1101,1113,68.25,70.85,65.95,71.1,72.94,86.17,86.5,86.83,86.97,87.22,8739,8804,8967,9420,9811
,Sumenep,67.15,67.74,68.49,69.13,69.78,"5,71","5,92","5,93","5,94","6,1","23546,5","24161,4","24912,6","26244,8","27234,4","20,18","20,51","18,76","18,7","17,78",71.41,71.56,71.99,72.47,72.65,382491,400960,427882,471860,506569,563,565,545,550,553,64.74,65.66,67.68,70.26,73.31,80.81,81.18,81.88,82.29,82.67,8888,9000,9388,9807,10156
,Kota Kediri,78.78,79.15,80.12,80.97,81.88,"9,93","10,15","10,45","10,69","10,92",84375,"86485,6","89907,2","91631,4","94774,1","7,69","7,75","7,23","7,15","6,51",74.02,74.04,74.34,74.67,74.87,493438,506936,537326,587723,621051,4524,4542,4305,4391,4436,95.4,95.75,95.87,96.41,95.39,94.39,94.21,94.53,94.58,94.78,12239,12359,12762,13276,13670
,Kota Blitar,78.88,79.27,80.15,80.78,81.44,"10,11","10,35","10,65","10,78","10,82","4722,6","4924,6","5181,6","5455,8","5746,4","7,78","7,89","7,37","7,3","6,75",73.75,73.86,74.26,74.66,74.86,465868,481229,517363,568280,596105,4579,4617,4577,4619,4664,96.67,96.77,95.91,96.22,95.93,97.46,97.36,97.37,97.49,97.49,13733,13816,14058,14548,14933
,Kota Malang,82.19,82.77,83.38,84,84.68,"10,18","10,41","10,69","10,94","11,14","51154,5","53309,7","56678,6","60119,8","63373,3","4,44","4,62","4,37","4,26","3,91",73.27,73.36,73.75,74.13,74.33,554791,570238,609612,674660,706341,5808,5816,7617,7790,7857,83.25,87.08,82.61,86.36,95.7,94.97,95.24,95.54,95.67,95.9,16593,16663,16897,17222,17791
,Kota Probolinggo,74.81,75.2,76.08,76.93,77.79,"8,7","8,95","9,29","9,56","9,72","8035,3","8361,1","8872,8","9408,5","9893,3","7,43","7,44","6,65","6,48","6,18",70.29,70.35,70.68,70.99,71.18,524528,545955,575195,628380,654409,4229,4256,4448,4517,4564,88.45,89.77,89.27,88.27,91.59,95.87,96.01,96.24,96.48,96.58,12180,12245,12571,12999,13405
,Kota Pasuruan,76.47,76.83,77.71,78.3,78.9,"9,12","9,33","9,67","9,78","9,94","5706,6","5914,6","6282,4","6637,1","6998,7","6,66","6,88","6,37","6,6","6,32",71.52,71.6,71.96,72.31,72.5,441531,461624,486893,529512,554195,5894,5937,5424,5549,5626,90.02,92.1,89.32,91.73,91.97,96.16,96.27,96.74,96.81,96.99,13281,13354,13803,14250,14664
,Kota Mojokerto,78.95,79.34,80.19,80.9,81.76,"10,25","10,47","10,8","11,05","11,38","4801,5","4976,5",5253,"5399,6","5686,8","6,24","6,39","5,98","5,77","5,57",73.32,73.39,73.74,74.1,74.29,482016,493452,531804,581006,610968,6553,6594,6645,6732,6796,94.48,95.49,95.59,96.48,94.62,93.26,93.47,93.63,93.89,94.02,13499,13610,14054,14422,14842
