,,Indeks Pembangunan Manusia,,,,,Rata-Rata Lama Sekolah (Tahun),,,,,PDRB ADHK (Milyar Rupiah),,,,,Persentase Penduduk Miskin (%),,,,,Umur Harapan Hidup (Tahun),,,,,Garis Kemiskinan (Rupiah/Kapita/Bulan),,,,,Kepadatan Penduduk (Jiwa/km2),,,,,Persentase Rumah Tangga yang memiliki Akses Sanitasi Layak (%),,,,,Indeks Pembangunan Gender,,,,,Pengeluaran Per Kapita yang Disesuaikan (Rupiah/Kapita/Tahun),,,,
,Deli Serdang,76.11,76.21,76.86,77.16,77.56,"10,09","10,1","10,27","10,28","10,29","70596,83","72173,62","75568,66","79603,68","83868,36","3,88","4,01","3,62","3,44","3,44",71.73,71.77,72.07,72.31,72.48,413202,428123,448489,479509,508139,862,866,758,782,794,95.7,96.37,91.13,96.78,97.88,91.29,91.18,91.61,91.92,92.15,12225,12291,12657,12890,13279
,Langkat,73.14,73.5,74.03,74.33,74.85,"8,65","8,66","8,68","8,73","8,74","29343,26","30247,39","31665,48","33225,11","34880,49","9,73","10,12","9,49","9,23","9,04",68.8,68.97,69.39,69.64,69.9,412422,432371,453383,483543,507996,165,165,169,174,176,87.6,80.76,86.5,90.65,89.95,89.24,89.02,89.03,88.77,89.05,11071,11142,11439,11632,12080
,Nias Selatan,62.78,63.24,64.05,64.98,65.87,"5,85","6,06","6,23","6,48","6,52","4246,83","4332,63","4466,09","4629,3","4806,33","16,74","16,92","16,48","16,39","16,32",68.74,68.86,69.21,69.58,69.8,312453,329308,350452,379929,406429,198,201,146,151,154,11.48,13.14,12.23,15.63,15.33,87.58,88.28,89.19,89.68,89.84,6974,7041,7195,7299,7730
,Humbang Hasundutan,70.7,71.28,72.05,72.49,73.33,"9,54","9,71",10,"10,01","10,13","4135,6","4219,14","4396,56","4589,13","4808,86","9,36","9,65","8,86","8,69","8,44",69.27,69.51,70.02,70.27,70.49,374768,397237,419180,451625,487256,85,86,86,87,88,90.27,91.65,93.9,96.99,97.92,97.38,97.32,97.65,97.45,97.42,7850,8016,8250,8476,8844
,Pakpak Bharat,70.3,70.65,71.57,72.3,73.09,"9,03","9,14","9,39","9,61","9,73","850,79","872,4","909,62","956,01","1003,95","9,28","9,35","8,66","7,54","6,87",65.74,65.96,66.44,66.89,67.24,311584,332644,357844,384812,412759,43,44,40,40,41,91.83,90.14,88.98,83.74,82.96,99.02,98.89,99.25,98.99,99.2,8170,8254,8558,8764,9158
,Samosir,71.56,71.75,72.57,72.93,73.77,"9,43","9,44","9,46","9,47","9,61","3080,43","3162,1","3303,86","3470,05","3644,15","12,48","12,68","11,77","11,66","11,63",71.27,71.41,71.82,72.24,72.41,341843,370082,396267,425875,455397,66,67,76,76,77,88.52,91.09,89.48,93.18,95.68,96.51,96.59,96.76,96.74,96.93,8422,8504,8991,9158,9634
,Serdang Bedagai,71.93,72.25,72.89,73.4,74.15,"8,54","8,69","8,71","8,85","9,12","19308,46","19863,24","20749,07","21792,07","22883,58","7,97","8,3","7,82","7,44","6,97",68.68,68.82,69.21,69.59,69.83,416991,448372,478072,503955,518209,346,348,343,350,355,91.15,93.19,91.98,93.29,94.74,88.74,89,89.19,88.87,89.07,10950,11017,11499,11695,12015
,Batu Bara,70.57,70.8,71.75,72.56,73.14,"8,06","8,07","8,26","8,5","8,51","23923,64","24486,06","25482,21","26522,68","27614,17","11,88","12,38","11,53","11,38","10,94",66.96,67.13,67.55,67.88,68.11,452393,477564,508524,556529,591201,445,448,469,485,492,84.14,88.04,88.25,92.54,93.27,83.08,83.22,83.51,83.76,84.06,10410,10539,10755,10933,11373
,Padang Lawas Utara,71.69,71.96,72.77,73.45,74.16,"9,37","9,38","9,46","9,55","9,82","8322,51","8593,64","8947,63","9387,45","9855,95","9,7","9,92","8,94","8,79","8,97",67.17,67.22,67.53,67.82,67.99,380379,401435,430944,467457,502403,67,67,69,70,71,60.26,67.17,71.03,72.22,75.8,87.92,88.06,88.1,88.26,88.47,9987,10055,10447,10615,10925
,Padang Lawas,70.08,70.48,71.41,72.16,73.1,"9,01","9,02","9,31","9,43","9,63","8053,5","8362,13","8747,96","9197,63","9659,72","8,37","8,69","8,05","7,89","7,87",67.09,67.13,67.43,67.71,67.87,367932,388404,418610,449217,483395,67,68,68,70,72,52.46,59.62,65.52,68.32,73.63,85.75,85.94,86.24,86.56,86.97,8807,8921,9207,9395,9821
